,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
0,1100015.0,Alta Floresta D'Oeste,11.0,RO,488.15781250000003,495.50294117647064,513.1999999999998,506.3171875000001,590.8823529411765
1,1100023.0,Ariquemes,11.0,RO,491.511969111969,503.36241134751765,517.5283687943263,515.9335907335909,555.3191489361702
2,1100031.0,Cabixi,11.0,RO,493.3666666666666,487.23333333333335,537.3666666666667,469.8,473.3333333333333
3,1100049.0,Cacoal,11.0,RO,497.4131147540983,510.9748484848488,525.5072727272731,535.1134426229509,587.8181818181819
4,1100056.0,Cerejeiras,11.0,RO,471.4114285714286,493.23999999999995,507.7,496.3799999999999,530.8571428571429
5,1100064.0,Colorado do Oeste,11.0,RO,487.32685185185187,505.5025862068965,519.394827586207,529.5620370370374,584.8275862068965
6,1100072.0,Corumbiara,11.0,RO,484.1384615384616,462.77142857142854,481.6642857142857,503.7692307692308,588.5714285714286
7,1100080.0,Costa Marques,11.0,RO,453.48,467.6450000000001,467.82,469.7799999999999,468.0
8,1100098.0,Espigão D'Oeste,11.0,RO,487.79466666666667,502.85135135135124,496.53783783783786,522.6160000000001,559.1891891891892
9,1100106.0,Guajará-Mirim,11.0,RO,459.4226277372262,467.11780821917796,495.2671232876713,466.10510948905136,518.3561643835617
10,1100114.0,Jaru,11.0,RO,475.2176923076921,489.60212765957453,512.1992907801418,494.58692307692303,561.7021276595744
11,1100122.0,Ji-Paraná,11.0,RO,496.4864942528737,507.21195652173907,522.6720108695652,523.0864942528732,584.1847826086956
12,1100130.0,Machadinho D'Oeste,11.0,RO,482.0366666666667,491.43225806451613,492.8419354838709,478.1499999999999,554.1935483870968
13,1100148.0,Nova Brasilândia D'Oeste,11.0,RO,487.13235294117646,513.3333333333335,515.7611111111111,519.6999999999999,573.3333333333334
14,1100155.0,Ouro Preto do Oeste,11.0,RO,477.14175824175817,495.70212765957433,511.47340425531894,506.5164835164837,561.7021276595744
15,1100189.0,Pimenta Bueno,11.0,RO,483.20400000000006,500.9767441860465,517.3290697674419,499.436,534.4186046511628
16,1100205.0,Porto Velho,11.0,RO,482.69574885546103,496.5102405922267,514.3619987661937,507.01451929365595,585.3917334978408
17,1100254.0,Presidente Médici,11.0,RO,463.90975609756094,476.7348837209302,487.66744186046515,479.60243902439015,540.0
18,1100262.0,Rio Crespo,11.0,RO,462.65,463.2,452.0,533.8,386.6666666666667
19,1100288.0,Rolim de Moura,11.0,RO,481.64268292682925,504.3448484848485,500.870909090909,503.393292682927,551.2727272727273
20,1100296.0,Santa Luzia D'Oeste,11.0,RO,504.20000000000005,464.125,479.5,509.8375,495.0
21,1100304.0,Vilhena,11.0,RO,498.30971659919004,517.1962546816476,523.9838951310866,536.8336032388667,551.8352059925094
